Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Health Lumen acquires Cobalt Talon,Cobalt Talon,Health Lumen,08/24/2016,
Delta Corp acquires Adda52,Adda52,Delta Corp,09/01/2016,"$23,000,000"
Google acquires Apportable,Apportable,Google,03/01/2015,
IA Ventures acquires FSI Cube and Pellet,FSI Cube and Pellet,IA Ventures,08/24/2016,
Snapshot Interactive acquires Pounds Media,Pounds Media,Snapshot Interactive,08/15/2016,
amaysim acquires Australian Broadband Services Pty Ltd (AusBBS),Australian Broadband Services Pty Ltd (AusBBS),amaysim,08/23/2016,"$4,000,000"
Tiversa acquires Corporate Armor,Corporate Armor,Tiversa,01/25/2016,
Snap Inc. acquires Vurb,Vurb,Snap Inc.,08/15/2016,"$110,000,000"
Cisco acquires ParStream,ParStream,Cisco,10/26/2015,
Sovran Self Storage acquires LifeStorage,LifeStorage,Sovran Self Storage,05/19/2016,"$1,300,000,000"
Lenovo acquires Motorola Mobility,Motorola Mobility,Lenovo,01/29/2014,"$2,910,000,000"
Intel acquires Replay Technologies,Replay Technologies,Intel,03/08/2016,
Olympus Corporation acquires Spirus Medical,Spirus Medical,Olympus Corporation,07/05/2011,
Fab acquires Casacanda,Casacanda,Fab,02/20/2012,"$11,000,000"
PriceGrabber acquires Snapette,Snapette,PriceGrabber,08/20/2013,
SAS Holding acquires Glowork,Glowork,SAS Holding,09/11/2013,"﷼60,000,000"
Slice Technologies acquires Unroll Me,Unroll Me,Slice Technologies,11/24/2014,
Shopgate acquires MagCorp,MagCorp,Shopgate,02/01/2014,
PetSmart acquires Pet360,Pet360,PetSmart,09/17/2014,"$130,000,000"
Welch Allyn acquires Hubble Telemedical,Hubble Telemedical,Welch Allyn,01/20/2015,
Harris acquires Exelis,Exelis,Harris,02/06/2015,"$4,750,000,000"
Allergan acquires Oculeve,Oculeve,Allergan,07/06/2015,"$125,000,000"
AppTech Corp acquires FlowPay,FlowPay,AppTech Corp,10/06/2015,
Time Inc. acquires Hello Giggles,Hello Giggles,Time Inc.,10/18/2015,"$30,000,000"
Aspiring Minds acquires Letsintern,Letsintern,Aspiring Minds,12/21/2015,
General Motors acquires Sidecar Technologies,Sidecar Technologies,General Motors,01/19/2016,
ScribbleLive acquires Visually,Visually,ScribbleLive,01/28/2016,
Oracle Corporation acquires Ravello Systems,Ravello Systems,Oracle Corporation,02/22/2016,"$500,000,000"
Microsoft acquires Xamarin,Xamarin,Microsoft,02/24/2016,
Trusted Knight acquires Sentrix,Sentrix,Trusted Knight,02/29/2016,
Banco Bilbao Vizcaya Argentaria acquires Holvi,Holvi,Banco Bilbao Vizcaya Argentaria,03/07/2016,
Stratalux acquires Tojo Media,Tojo Media,Stratalux,04/22/2016,
Pocket Games acquires Kicksend,Kicksend,Pocket Games,04/25/2016,
Gael Force acquires Mohn Aqua,Mohn Aqua,Gael Force,05/06/2016,
Upserve acquires Breadcrumb,Breadcrumb,Upserve,05/09/2016,
Smartling acquires VerbalizeIt,VerbalizeIt,Smartling,05/19/2016,
Motor1.com acquires RideApart,RideApart,Motor1.com,05/20/2016,
ServiceNow acquires BrightPoint Security,BrightPoint Security,ServiceNow,06/01/2016,
The Cooper Companies acquires Recombine,Recombine,The Cooper Companies,05/25/2016,"$85,000,000"
Alorica acquires Expert Global Solutions,Expert Global Solutions,Alorica,06/02/2016,
Graphite Capital acquires New World Trading Company,New World Trading Company,Graphite Capital,06/09/2016,"£50,000,000"
Stamps.com acquires Shipping Easy,Shipping Easy,Stamps.com,06/20/2016,"$55,000,000"
Next Gear Solutions acquires ClientRunner Software,ClientRunner Software,Next Gear Solutions,06/20/2016,
Bounce Exchange acquires GoChime,GoChime,Bounce Exchange,06/28/2016,
FLIR Systems acquires Armasight,Armasight,FLIR Systems,06/28/2016,"$41,000,000"
Accuron Technologies acquires Aurum Healthcare,Aurum Healthcare,Accuron Technologies,07/04/2016,
Sega acquires Amplitude Studios,Amplitude Studios,Sega,07/05/2016,
Vice Media acquires Garage magazine,Garage magazine,Vice Media,07/05/2016,
Endonovo Therapeutics acquires Rio Grande Neurosciences,Rio Grande Neurosciences,Endonovo Therapeutics,07/11/2016,"$30,000,000"
HUB International Limited acquires Parq Advisors,Parq Advisors,HUB International Limited,07/18/2016,
Workday acquires Platfora,Platfora,Workday,07/21/2016,
Fidelity National Financial acquires Commissions Inc (CINC),Commissions Inc (CINC),Fidelity National Financial,07/26/2016,
Main Capital Partners acquires OBI4wan,OBI4wan,Main Capital Partners,07/27/2016,
Synacor acquires Carbyn,Carbyn,Synacor,01/30/2012,"$1,100,000"
Rent2Buy acquires HiGear,HiGear,Rent2Buy,02/27/2012,
Telly acquires Frugalo,Frugalo,Telly,03/19/2012,
Bionomics acquires Eclipse Therapeutics,Eclipse Therapeutics,Bionomics,09/17/2012,"$10,000,000"
Groupon acquires Breadcrumb,Breadcrumb,Groupon,05/29/2012,
Noodle acquires Lore,Lore,Noodle,03/15/2013,
Net Element International acquires Aptito,Aptito,Net Element International,05/22/2013,
BloomReach acquires ShopLogic,ShopLogic,BloomReach,05/30/2013,
StubHub acquires Flockish,Flockish,StubHub,04/01/2012,
LiveQoS acquires Openera,Openera,LiveQoS,10/22/2013,
Provide Commerce acquires Sincerely,Sincerely,Provide Commerce,11/07/2013,
The Medicines Company acquires Rempex Pharmaceuticals,Rempex Pharmaceuticals,The Medicines Company,12/04/2013,"$474,000,000"
MoolaHoop acquires Lucky Ant,Lucky Ant,MoolaHoop,12/12/2013,
Handy acquires Exec,Exec,Handy,01/15/2014,
AdRoll acquires userfox,userfox,AdRoll,01/23/2014,
HomeAway acquires Glad to Have You,Glad to Have You,HomeAway,03/05/2014,"$16,800,000"
Fundable acquires LaunchRock,LaunchRock,Fundable,03/01/2014,
Luxottica Group SpA acquires Glasses.com,Glasses.com,Luxottica Group SpA,01/07/2014,
Buzzcar acquires CityzenCar,CityzenCar,Buzzcar,06/28/2013,
Yahoo! acquires Blink Messenger,Blink Messenger,Yahoo!,05/13/2014,
Samsung Electronics acquires Shelby.tv,Shelby.tv,Samsung Electronics,06/05/2014,
Buscape acquires Shopcliq,Shopcliq,Buscape,09/14/2012,
Brave Bison acquires Viral Management,Viral Management,Brave Bison,07/08/2014,"£4,100,000"
Square 2 Marketing acquires FullQuota,FullQuota,Square 2 Marketing,12/11/2013,
HY Connect acquires Lonelybrand,Lonelybrand,HY Connect,02/26/2013,
Enbridge acquires Tonbridge Power,Tonbridge Power,Enbridge,08/16/2011,"$20,000,000"
"SMTP, Inc. acquires SharpSpring",SharpSpring,"SMTP, Inc.",08/15/2014,"$15,000,000"
Phaidon Press acquires Artspace,Artspace,Phaidon Press,08/15/2014,
Shire acquires Lumena Pharmaceuticals,Lumena Pharmaceuticals,Shire,05/13/2014,"$260,000,000"
Sonata Software acquires Rezopia,Rezopia,Sonata Software,08/25/2014,
Hudl acquires Ubersense,Ubersense,Hudl,09/17/2014,
Pulse Secure acquires MobileSpaces,MobileSpaces,Pulse Secure,10/05/2014,"$100,000,000"
New Relic acquires Ducksboard,Ducksboard,New Relic,10/08/2014,"$2,300,000"
Catamaran Corp. acquires Salveo Specialty Pharmacy,Salveo Specialty Pharmacy,Catamaran Corp.,10/09/2014,"$260,000,000"
Sophos acquires Mojave Networks,Mojave Networks,Sophos,10/07/2014,
Mail.Ru Group acquires maps.me,maps.me,Mail.Ru Group,11/13/2014,
GovDelivery acquires NuCivic,NuCivic,GovDelivery,12/17/2014,
Aegis Sciences acquires Diagnovus,Diagnovus,Aegis Sciences,01/06/2015,
Google acquires Odysee,Odysee,Google,02/08/2015,
Ola acquires TaxiForSure.com,TaxiForSure.com,Ola,03/02/2015,"$200,000,000"
Cision acquires Viralheat,Viralheat,Cision,03/24/2015,
Check Point Software Technologies acquires Lacoon Mobile Security,Lacoon Mobile Security,Check Point Software Technologies,04/02/2015,
Recro Pharma Inc. acquires Alkermes,Alkermes,Recro Pharma Inc.,04/13/2015,
Drift acquires Fetchnotes,Fetchnotes,Drift,04/21/2015,
Weathernews acquires Weathermob,Weathermob,Weathernews,05/20/2015,
Fuze acquires LiveMinutes,LiveMinutes,Fuze,05/20/2015,
Clarabridge acquires Engagor,Engagor,Clarabridge,05/21/2015,
Shopventory acquires Otterology,Otterology,Shopventory,06/03/2015,
Acuity Brands acquires ByteLight,ByteLight,Acuity Brands,04/16/2015,
Practo acquires Genii Technologies,Genii Technologies,Practo,07/09/2015,
BTC Media acquires Bitcoin Magazine,Bitcoin Magazine,BTC Media,01/21/2015,
HIG Capital acquires Centros Unico,Centros Unico,HIG Capital,08/10/2015,
Housing.com acquires HomeBuy360,HomeBuy360,Housing.com,08/16/2015,"$2,000,000"
Valeant Pharmaceuticals International acquires Sprout Pharmaceuticals,Sprout Pharmaceuticals,Valeant Pharmaceuticals International,08/20/2015,"$1,000,000,000"
Zipcar acquires Local Motion,Local Motion,Zipcar,08/13/2015,
Cardinal Health acquires NaviHealth,NaviHealth,Cardinal Health,08/25/2015,"$410,000,000"
Taptica acquires AreaOne,AreaOne,Taptica,09/08/2015,"$17,000,000"
Al Ahli Holding Group acquires theAudience,theAudience,Al Ahli Holding Group,09/15/2015,
Educational Development Corporation acquires Demibooks,Demibooks,Educational Development Corporation,09/15/2015,
Rentrak Corporation acquires SponsorHub,SponsorHub,Rentrak Corporation,09/25/2015,
Fundable acquires Zirtual,Zirtual,Fundable,10/05/2015,
Coty acquires Beamly,Beamly,Coty,10/19/2015,
Goodtizens Technologies acquires Start Now,Start Now,Goodtizens Technologies,10/27/2015,"$530,000"
Genoa acquires 1DocWay,1DocWay,Genoa,11/04/2015,
Yummly acquires Orange Chef,Orange Chef,Yummly,12/11/2015,
"Perk.com acquires Viggle, Inc.","Viggle, Inc.",Perk.com,12/14/2015,
Early Warning Services acquires clearXchange,clearXchange,Early Warning Services,01/12/2016,
"Pley acquires Spark Box Toys, LLC","Spark Box Toys, LLC",Pley,01/21/2016,
CIVIQ Smartscapes acquires Elevate Digital,Elevate Digital,CIVIQ Smartscapes,02/02/2016,
prettysocial media International GmbH acquires Atosho,Atosho,prettysocial media International GmbH,02/10/2016,
Sprinklr acquires postano.com,postano.com,Sprinklr,02/20/2016,
Bright Mountain Media acquires SargesList,SargesList,Bright Mountain Media,02/20/2016,
ABILITY Network acquires G4 Health Systems,G4 Health Systems,ABILITY Network,02/25/2016,
Pandell acquires Jobutrax Services,Jobutrax Services,Pandell,02/25/2016,
AMP acquires MoneyBrilliant,MoneyBrilliant,AMP,03/03/2016,
PledgeMusic acquires Set.fm,Set.fm,PledgeMusic,03/08/2016,
Dentsu Aegis Network acquires Cardinal Path,Cardinal Path,Dentsu Aegis Network,03/10/2016,
EyeGate Pharmaceuticals acquires Jade Therapeutics,Jade Therapeutics,EyeGate Pharmaceuticals,03/07/2016,
Ackroo Canada acquires Appetite,Appetite,Ackroo Canada,03/15/2016,
ADTZ acquires Glow Digital Media,Glow Digital Media,ADTZ,02/29/2016,
Ringier AG acquires DealDey Limited,DealDey Limited,Ringier AG,03/23/2016,
Reserve acquires Dash,Dash,Reserve,04/01/2016,
Greentube acquires BlueBat Games,BlueBat Games,Greentube,02/02/2015,
AmTrust Financial Services acquires ANV Holdings,ANV Holdings,AmTrust Financial Services,04/19/2016,"$218,700,000"
Nevsun Resources acquires Reservoir Minerals,Reservoir Minerals,Nevsun Resources,04/25/2016,"$365,000,000"
"Tantech Holdings acquires Suzhou E Motors Co., Ltd.","Suzhou E Motors Co., Ltd.",Tantech Holdings,05/02/2016,"$25,200,000"
Microsoft acquires Solair,Solair,Microsoft,05/03/2016,
Waste Management acquires Liquid Logistics,Liquid Logistics,Waste Management,08/01/2013,
Intronovo acquires RMS IT Security Limited,RMS IT Security Limited,Intronovo,05/03/2016,"£1,000,000"
Google acquires Pulse.io,Pulse.io,Google,05/28/2015,
Domotz acquires Fing,Fing,Domotz,05/12/2016,
Range Resources Corporation acquires Memorial Resource Development,Memorial Resource Development,Range Resources Corporation,05/16/2016,"$3,300,000,000"
Madison Logic acquires Internal Results,Internal Results,Madison Logic,05/18/2016,
Alvotech acquires Baliopharm,Baliopharm,Alvotech,05/19/2016,
Altima acquires BDBL Media,BDBL Media,Altima,05/18/2016,
Playtech acquires Quickspin,Quickspin,Playtech,05/24/2016,
PeopleAdmin acquires TeacherMatch,TeacherMatch,PeopleAdmin,05/24/2016,
Ringier AG acquires Ghafla!,Ghafla!,Ringier AG,05/26/2016,
Mark1 Media acquires Dash of Lime,Dash of Lime,Mark1 Media,05/27/2016,
SemGroup Corporation acquires Rose Rock Midstream,Rose Rock Midstream,SemGroup Corporation,05/31/2016,
Wire Stone acquires Tenthwave Digital,Tenthwave Digital,Wire Stone,06/01/2016,
WhiteSmoke acquires GMS Digital,GMS Digital,WhiteSmoke,06/05/2016,"$1,200,000"
Science Exchange acquires OnDeckBiotech,OnDeckBiotech,Science Exchange,06/07/2016,
Mindoula Health acquires Care at Hand,Care at Hand,Mindoula Health,06/14/2016,
PHG Energy acquires ARiES Energy,ARiES Energy,PHG Energy,09/10/2015,
Financial Times acquires The Alpha Grid Media Ltd,The Alpha Grid Media Ltd,Financial Times,06/16/2016,
Panasonic Europe acquires ADComms,ADComms,Panasonic Europe,06/20/2016,
Tujia acquires Mayi.com,Mayi.com,Tujia,06/22/2016,
AMD acquires HiAlgo,HiAlgo,AMD,06/29/2016,
Future Thinking acquires GemSeek Consulting,GemSeek Consulting,Future Thinking,07/04/2016,
Sartorius acquires kSep Systems,kSep Systems,Sartorius,07/06/2016,
Strad Energy Services acquires Redneck Oilfield Services,Redneck Oilfield Services,Strad Energy Services,07/13/2016,"$30,600,000"
NNG Global Services Kft acquires Arilou Technologies,Arilou Technologies,NNG Global Services Kft,07/17/2016,
Intelli Reboot Digital Pvt. Ltd. acquires UnderDOGS Gaming Studio,UnderDOGS Gaming Studio,Intelli Reboot Digital Pvt. Ltd.,07/18/2016,
Unilever acquires Dollar Shave Club,Dollar Shave Club,Unilever,07/19/2016,"$1,000,000,000"
DentalPro acquires Dentadent,Dentadent,DentalPro,07/22/2016,
SportsEngine acquires Beyond the Scores,Beyond the Scores,SportsEngine,07/29/2016,
Imperial Civil Enforcement Solutions acquires Apparcar,Apparcar,Imperial Civil Enforcement Solutions,06/16/2016,
Blackstone acquires Vivint Solar,Vivint Solar,Blackstone,09/18/2012,
Spindogs acquires Nuance & Fathom,Nuance & Fathom,Spindogs,08/01/2016,
WhiteClouds acquires Sandboxr,Sandboxr,WhiteClouds,08/01/2016,
William Hill acquires Grand Parade,Grand Parade,William Hill,08/02/2016,"£13,500,000"
Motorsport.com acquires Interactive Project,Interactive Project,Motorsport.com,08/03/2016,
Progress Software Corp acquires OneBit Software,OneBit Software,Progress Software Corp,08/03/2016,
Nexient acquires Claritics,Claritics,Nexient,12/04/2013,
Edmunds.com acquires CarcodeSMS,CarcodeSMS,Edmunds.com,10/28/2014,
AG Interactive acquires K-Mobile,K-Mobile,AG Interactive,06/23/2004,
SpringSource acquires Cloud Foundry,Cloud Foundry,SpringSource,08/19/2009,
CoreLogic acquires Dorado Network Systems Corporation,Dorado Network Systems Corporation,CoreLogic,03/15/2011,
Google acquires Motorola Mobility,Motorola Mobility,Google,05/22/2012,"$12,500,000,000"
CityPockets acquires DealBurner,DealBurner,CityPockets,08/24/2011,
CNN.com acquires Zite,Zite,CNN.com,08/31/2011,
Groupon acquires Campfire Labs,Campfire Labs,Groupon,12/28/2011,
Courtagen Life Sciences acquires Medicinal Genomics,Medicinal Genomics,Courtagen Life Sciences,01/18/2012,
AOL acquires Hipster,Hipster,AOL,03/15/2012,
Google acquires Milk,Milk,Google,03/16/2012,
Halfbrick Studios acquires Onan Games,Onan Games,Halfbrick Studios,03/20/2012,
Recoup acquires ForkingDeals,ForkingDeals,Recoup,03/30/2012,
Facebook acquires Sendoid,Sendoid,Facebook,02/29/2012,
Direct Impact acquires Crowdverb,Crowdverb,Direct Impact,04/04/2012,
Facebook acquires Tagtile,Tagtile,Facebook,04/13/2012,
Artisan Mobile acquires UXFLIP,UXFLIP,Artisan Mobile,04/24/2012,
Salesforce acquires Stypi,Stypi,Salesforce,05/01/2012,
CollegeBudget acquires Munch On Me,Munch On Me,CollegeBudget,05/15/2012,
Telly acquires Cull TV,Cull TV,Telly,05/16/2012,
Airtime acquires Erly,Erly,Airtime,05/23/2012,
ADOR acquires Chick Approved,Chick Approved,ADOR,05/25/2012,
CoFoundersLab acquires FounderMatchup,FounderMatchup,CoFoundersLab,05/22/2012,
Crashlytics acquires FireTower.app,FireTower.app,Crashlytics,06/06/2012,
Salesforce acquires ChoicePass,ChoicePass,Salesforce,06/18/2012,
Science acquires Pinpuff,Pinpuff,Science,06/26/2012,
Snapdeal acquires eSportsBuy.com,eSportsBuy.com,Snapdeal,04/03/2012,
Accumuli Security acquires Edge Seven,Edge Seven,Accumuli Security,06/13/2012,"£800,000"
Trend Micro acquires AffirmTrust,AffirmTrust,Trend Micro,06/27/2012,
Ginger.io acquires Pipette,Pipette,Ginger.io,03/09/2012,
OptimisCorp acquires Gymdeck,Gymdeck,OptimisCorp,07/03/2012,
Systems America acquires Mile5 Solutions,Mile5 Solutions,Systems America,07/02/2012,
Mind Candy acquires Origami Blue,Origami Blue,Mind Candy,07/09/2012,
AlphaPoint Technology acquires SoftPay Solutions,SoftPay Solutions,AlphaPoint Technology,07/18/2012,
WWA Group acquires Summit Digital,Summit Digital,WWA Group,07/19/2012,
HireVue acquires CodeEval,CodeEval,HireVue,08/01/2012,
Twitter acquires Clutch.io,Clutch.io,Twitter,08/13/2012,
Facebook acquires Karma,Karma,Facebook,05/18/2012,
Textbo acquires gripNote,gripNote,Textbo,12/01/2011,
Birchbox acquires JolieBox,JolieBox,Birchbox,09/13/2012,
GREE acquires App Ant Studios,App Ant Studios,GREE,09/17/2012,
Lithium Technologies acquires Social Dynamx,Social Dynamx,Lithium Technologies,10/09/2012,
Telenav acquires Thinknear,Thinknear,Telenav,10/16/2012,"$22,500,000"
textPlus acquires Jarvus,Jarvus,textPlus,09/01/2012,
"Square acquires Catapult Mediaworks, LLC","Catapult Mediaworks, LLC",Square,09/06/2011,
Yahoo! acquires Stamped,Stamped,Yahoo!,10/25/2012,
Appcelerator acquires Nodeable,Nodeable,Appcelerator,11/07/2012,
InSequent acquires 4Mads,4Mads,InSequent,11/10/2012,
if(we) acquires urbantag,urbantag,if(we),10/16/2012,
Brand Embassy acquires Beepl,Beepl,Brand Embassy,04/10/2013,
Google acquires BufferBox,BufferBox,Google,11/30/2012,
Mitre Media Corp. acquires Commodity HQ,Commodity HQ,Mitre Media Corp.,02/01/2012,
Corona Labs acquires Game Minion,Game Minion,Corona Labs,12/13/2012,
Dropbox acquires Snapjoy,Snapjoy,Dropbox,12/19/2012,
"ZEFR acquires Pipewave, Inc.","Pipewave, Inc.",ZEFR,01/07/2013,
Groupon acquires Glassmap,Glassmap,Groupon,01/12/2013,
Viadeo acquires Pealk,Pealk,Viadeo,12/01/2012,
Yahoo! acquires Snip.it,Snip.it,Yahoo!,01/22/2013,"$10,000,000"
Twitter acquires Crashlytics,Crashlytics,Twitter,01/28/2013,"$100,000,000"
Netformx acquires VARcompliance,VARcompliance,Netformx,02/01/2013,
NewTarget Web acquires Genius Ventures,Genius Ventures,NewTarget Web,04/22/2012,
Anaplan acquires Vue Analytics,Vue Analytics,Anaplan,02/19/2013,
Alphabird acquires VOLT Media,VOLT Media,Alphabird,02/01/2013,
Fancy acquires Samplrs.com,Samplrs.com,Fancy,02/23/2013,
Space Pencil acquires SourceNinja,SourceNinja,Space Pencil,02/01/2013,
Apple acquires WiFiSLAM,WiFiSLAM,Apple,03/24/2013,"$20,000,000"
Echo Global Logistics acquires Open Mile,Open Mile,Echo Global Logistics,03/19/2013,
Yahoo! acquires Summly,Summly,Yahoo!,03/25/2013,"$30,000,000"
Pinterest acquires Livestar,Livestar,Pinterest,03/20/2013,
Yahoo! acquires Jybe,Jybe,Yahoo!,03/20/2013,
BuzzFeed acquires Kingfish Labs,Kingfish Labs,BuzzFeed,09/11/2012,
Quotient Technology acquires KitchMe,KitchMe,Quotient Technology,03/21/2013,
ConnectSolutions acquires NextUC Inc,NextUC Inc,ConnectSolutions,04/02/2013,
Ripple acquires SimpleHoney,SimpleHoney,Ripple,04/03/2013,
Facebook acquires Osmeta,Osmeta,Facebook,04/11/2013,
ViaSat acquires LonoCloud,LonoCloud,ViaSat,04/12/2013,
Facebook acquires Parse,Parse,Facebook,04/25/2013,"$90,000,000"
GetYourGuide acquires Gidsy,Gidsy,GetYourGuide,04/26/2013,
Etsy acquires Lascaux Co.,Lascaux Co.,Etsy,01/22/2013,
IMS Health acquires Semantelli,Semantelli,IMS Health,04/30/2013,
Yahoo! acquires GoPollGo,GoPollGo,Yahoo!,05/09/2013,
Twitter acquires Ubalo,Ubalo,Twitter,05/09/2013,
Twitter acquires Lucky Sort,Lucky Sort,Twitter,05/13/2013,
Turo acquires Wheelz,Wheelz,Turo,05/14/2013,
"Bitzio, Inc. acquires Tech Hollywood Studios",Tech Hollywood Studios,"Bitzio, Inc.",05/14/2013,
Aruba Networks acquires Meridian,Meridian,Aruba Networks,05/16/2013,
Salesforce acquires Clipboard,Clipboard,Salesforce,05/09/2013,"$12,000,000"
FreshNeck acquires Tie Try,Tie Try,FreshNeck,05/22/2013,
Yahoo! acquires PlayerScale,PlayerScale,Yahoo!,05/23/2013,
Betaworks acquires Piictu,Piictu,Betaworks,05/22/2013,
Snapdeal acquires Shopo,Shopo,Snapdeal,05/30/2013,
delivery.com acquires Brinkmat,Brinkmat,delivery.com,06/04/2013,
Logitech acquires TT Design Labs,TT Design Labs,Logitech,06/06/2013,
AdRoll acquires Bitdeli,Bitdeli,AdRoll,06/12/2013,
MOX TV acquires Cull TV,Cull TV,MOX TV,09/24/2012,
Occipital acquires ManCTL,ManCTL,Occipital,06/18/2013,
EMC acquires ScaleIO,ScaleIO,EMC,06/19/2013,"$200,000,000"
PhotoBox Group acquires Sticky9,Sticky9,PhotoBox Group,06/24/2013,
Dstillery acquires EveryScreenMedia,EveryScreenMedia,Dstillery,07/17/2013,
Yelp acquires SeatMe,SeatMe,Yelp,07/18/2013,"$12,700,000"
Reputation.com acquires MySocialCloud.com,MySocialCloud.com,Reputation.com,07/24/2013,
GetYourGuide acquires iGottaGuide,iGottaGuide,GetYourGuide,07/01/2013,
Angie's List acquires BrightNest,BrightNest,Angie's List,08/02/2013,"$6,300,000"
ZOZI acquires TripFlavor,TripFlavor,ZOZI,08/07/2013,
"Thru, Inc. acquires Rumble Australia, Pty Ltd","Rumble Australia, Pty Ltd","Thru, Inc.",04/26/2012,
Apple acquires Matcha,Matcha,Apple,08/13/2013,
GoDaddy acquires Locu,Locu,GoDaddy,08/19/2013,"$70,000,000"
Apple acquires Embark,Embark,Apple,08/22/2013,
Instagram acquires Luma.io,Luma.io,Instagram,08/23/2013,
Docstoc acquires BestVendor,BestVendor,Docstoc,08/26/2013,
NTT DoCoMo acquires fine trade,fine trade,NTT DoCoMo,08/27/2013,
Tape TV acquires Amen.,Amen.,Tape TV,08/27/2013,
Arbor Networks - The Security Division of NETSCOUT acquires Packetloop,Packetloop,Arbor Networks - The Security Division of NETSCOUT,09/03/2013,
D2L acquires Knowillage,Knowillage,D2L,09/09/2013,
3D Systems acquires The Sugar Lab,The Sugar Lab,3D Systems,09/10/2013,
Splunk acquires BugSense,BugSense,Splunk,09/16/2013,
Hightail acquires Adept Cloud,Adept Cloud,Hightail,09/17/2013,
"XO Group, Inc. acquires Hoppit",Hoppit,"XO Group, Inc.",09/17/2013,
Groupon acquires SideTour,SideTour,Groupon,09/18/2013,
MX Technologies acquires MoneyReef,MoneyReef,MX Technologies,08/02/2012,
Intermedia acquires SaaSID,SaaSID,Intermedia,09/26/2013,
TellApart acquires AdStack,AdStack,TellApart,09/30/2013,
Lorillard acquires Skycig Cigarette,Skycig Cigarette,Lorillard,10/01/2013,"$48,600,000"
Sumitomo Corporation acquires Edgen Group,Edgen Group,Sumitomo Corporation,10/02/2013,"$1,200,000,000"
Certain acquires Check In Easy,Check In Easy,Certain,10/02/2013,
Dropbox acquires Foundry Hiring,Foundry Hiring,Dropbox,09/01/2013,
Meetup acquires Dispatch,Dispatch,Meetup,10/09/2013,
Evidence.com acquires Familiar,Familiar,Evidence.com,10/07/2013,
GLOSSYBOX acquires Carmine,Carmine,GLOSSYBOX,03/01/2012,
Babyoye acquires hoopos.com,hoopos.com,Babyoye,04/01/2013,
Enabledware acquires Clouli,Clouli,Enabledware,09/01/2012,
Yahoo! acquires Bread,Bread,Yahoo!,10/13/2013,
La Nevera Roja.com acquires Entuboca.com,Entuboca.com,La Nevera Roja.com,09/21/2013,
Regiondo acquires Yasuu,Yasuu,Regiondo,09/19/2012,
Academia.edu acquires Plasmyd,Plasmyd,Academia.edu,10/23/2013,
SFX Entertainment acquires Tunezy,Tunezy,SFX Entertainment,10/24/2013,
SFX Entertainment acquires Fame House,Fame House,SFX Entertainment,10/24/2013,
"First Data Corporation acquires Perka, Inc.","Perka, Inc.",First Data Corporation,10/29/2013,
WebMD acquires Avado,Avado,WebMD,10/29/2013,
eFamily.com acquires Origami Labs,Origami Labs,eFamily.com,11/06/2013,
Matomy Market acquires MobAff,MobAff,Matomy Market,07/01/2013,"$6,000,000"
