Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Time To Know acquires ForClass,ForClass,Time To Know,08/15/2016,
Ford Motor Company acquires SAIPS,SAIPS,Ford Motor Company,08/16/2016,
Aurora Cannabis acquires CanvasRx Holdings,CanvasRx Holdings,Aurora Cannabis,08/10/2016,"$37,500,000"
Rebelle acquires GLAMLOOP,GLAMLOOP,Rebelle,08/27/2014,
PPD acquires Evidera,Evidera,PPD,08/09/2016,
Breezeworks acquires Prompt.ly,Prompt.ly,Breezeworks,08/11/2016,
Freauty acquires Zeebba,Zeebba,Freauty,08/11/2016,
Scintilla Pharmaceuticals acquires Scilex Pharmaceuticals,Scilex Pharmaceuticals,Scintilla Pharmaceuticals,08/08/2016,
Intel acquires Nervana,Nervana,Intel,08/09/2016,"$350,000,000"
"Box acquires Subspace, Inc.","Subspace, Inc.",Box,03/03/2015,
Silicon Valley Bank acquires Standard Treasury,Standard Treasury,Silicon Valley Bank,08/06/2015,
General Motors acquires Cruise,Cruise,General Motors,03/11/2016,"$1,000,000,000"
Barta Media Group acquires Blue Key Interactive,Blue Key Interactive,Barta Media Group,03/11/2016,
Pythian acquires Blackbird,Blackbird,Pythian,06/26/2014,
Knowlarity Communications acquires Smartwards Services,Smartwards Services,Knowlarity Communications,05/09/2016,
Docker acquires Orchard,Orchard,Docker,07/23/2014,
Campaign Monitor acquires GetFeedback,GetFeedback,Campaign Monitor,11/18/2014,
Microsoft acquires Acompli,Acompli,Microsoft,12/01/2014,"$200,000,000"
Samsung Electronics acquires LoopPay,LoopPay,Samsung Electronics,02/18/2015,
Twitter acquires Periscope Co,Periscope Co,Twitter,03/10/2015,
1776 acquires Disruption Corporation,Disruption Corporation,1776,04/16/2015,
Red Hat acquires Ansible,Ansible,Red Hat,10/16/2015,"$150,000,000"
Cisco acquires Leaba Semiconductor,Leaba Semiconductor,Cisco,03/02/2016,"$320,000,000"
Toptal acquires Skillbridge,Skillbridge,Toptal,03/31/2016,
Citius Pharmaceuticals acquires Leonard-Meron Biosciences,Leonard-Meron Biosciences,Citius Pharmaceuticals,04/04/2016,
Shopify acquires Kit,Kit,Shopify,04/13/2016,
XING acquires Buddy Broker,Buddy Broker,XING,04/14/2016,"€7,350,000"
Conviviality Retail acquires Bibendum Wine Limited,Bibendum Wine Limited,Conviviality Retail,05/03/2016,"£60,000,000"
Runnr acquires TinyOwl Technology,TinyOwl Technology,Runnr,05/10/2016,
"Lion - Beer, Spirits & Wine NZ acquires Panhead Custom Ales",Panhead Custom Ales,"Lion - Beer, Spirits & Wine NZ",05/27/2016,
SurfaceInk acquires GPiO,GPiO,SurfaceInk,06/02/2016,
Riverstone Holdings acquires Talen Energy Corp.,Talen Energy Corp.,Riverstone Holdings,06/03/2016,"$5,200,000,000"
Spaceflight Industries acquires OpenWhere,OpenWhere,Spaceflight Industries,06/21/2016,
Mobikon Asia acquires MassBlurb,MassBlurb,Mobikon Asia,06/23/2016,
Move Publishing acquires NewCom Regie,NewCom Regie,Move Publishing,06/16/2016,
Daraz.pk acquires Kaymu.pk,Kaymu.pk,Daraz.pk,06/27/2016,
Slice Technologies acquires Vibrant Data,Vibrant Data,Slice Technologies,06/29/2016,
Doodle acquires Meekan,Meekan,Doodle,06/30/2016,
Helix TCS acquires Cannabase,Cannabase,Helix TCS,07/07/2016,
Valero Energy acquires Parkway Pipeline,Parkway Pipeline,Valero Energy,07/12/2016,
Activist Insight acquires Activist Shorts Research,Activist Shorts Research,Activist Insight,07/13/2016,
Atlassian acquires StatusPage,StatusPage,Atlassian,07/14/2016,
Digital Bridge Holdings acquires DataBank,DataBank,Digital Bridge Holdings,07/13/2016,
GetLinks acquires LetsCatchup,LetsCatchup,GetLinks,07/18/2016,
NowFloats acquires Lookup,Lookup,NowFloats,07/19/2016,
Teneo Holdings acquires PSG Communications,PSG Communications,Teneo Holdings,07/18/2016,
SOCAN acquires Audiam,Audiam,SOCAN,07/21/2016,
Salesforce acquires Coolan,Coolan,Salesforce,07/21/2016,
GoHealth acquires Connected Benefits,Connected Benefits,GoHealth,07/21/2016,
Hargett Hunter Capital Partners acquires Original ChopShop Co,Original ChopShop Co,Hargett Hunter Capital Partners,07/25/2016,
A10 Networks acquires Appcito,Appcito,A10 Networks,07/26/2016,
Pepperjam Network acquires AdAssured,AdAssured,Pepperjam Network,07/27/2016,
Tempo Australia acquires Cablelogic,Cablelogic,Tempo Australia,07/28/2016,
viihealth acquires Argolife,Argolife,viihealth,07/28/2016,
Impact Radius acquires 5IQ,5IQ,Impact Radius,08/01/2016,
FoxBit acquires Bitinvest,Bitinvest,FoxBit,08/01/2016,
Taleo acquires Vurv Technology,Vurv Technology,Taleo,05/06/2008,"$128,800,000"
Room 77 acquires CheckMate,CheckMate,Room 77,03/28/2013,
Pinterest acquires Hackermeter,Hackermeter,Pinterest,10/11/2013,
Naver Corporation acquires Whoscall,Whoscall,Naver Corporation,12/09/2013,
OTOY acquires AppSlingr,AppSlingr,OTOY,02/20/2014,
Monster acquires Gozaik,Gozaik,Monster,02/25/2014,
G8 Education acquires Sterling Early Education,Sterling Early Education,G8 Education,03/23/2014,"$228,000,000"
Twitter acquires Cover Lockscreen,Cover Lockscreen,Twitter,04/07/2014,
Avista Capital Partners acquires DataBank,DataBank,Avista Capital Partners,06/15/2011,
Travefy acquires Tripeese,Tripeese,Travefy,06/30/2014,
Genentech acquires Seragon Pharmaceuticals,Seragon Pharmaceuticals,Genentech,07/01/2014,"$725,000,000"
Zillow acquires Retsly,Retsly,Zillow,07/16/2014,
PK4 Media acquires Prosperio,Prosperio,PK4 Media,07/22/2014,
Ticketmaster acquires Eventjoy,Eventjoy,Ticketmaster,09/11/2014,
CoFoundersLab acquires Wonpy,Wonpy,CoFoundersLab,01/30/2014,
Yahoo! acquires Bookpad,Bookpad,Yahoo!,09/22/2014,
if(we) acquires Tinode,Tinode,if(we),10/17/2014,
DeNA acquires IEMO,IEMO,DeNA,10/01/2014,"$50,000,000"
SocialRadar acquires Gridskippr,Gridskippr,SocialRadar,11/12/2014,
Turnitin acquires LightSide Labs,LightSide Labs,Turnitin,10/01/2014,
BeGood acquires TheFanLeague,TheFanLeague,BeGood,03/19/2014,
Runscope acquires Ghost Inspector,Ghost Inspector,Runscope,12/18/2014,
CommonFloor acquires Bakfy,Bakfy,CommonFloor,01/07/2015,
Central Data Storage acquires Optyn,Optyn,Central Data Storage,11/15/2014,
Twitter acquires Niche,Niche,Twitter,02/11/2015,"$50,000,000"
Envestnet acquires Upside,Upside,Envestnet,02/26/2015,
PayPal acquires CyActive,CyActive,PayPal,03/05/2015,"$60,000,000"
Docker acquires Kitematic,Kitematic,Docker,03/12/2015,
Upper Street Marketing acquires MagMo,MagMo,Upper Street Marketing,03/28/2014,
AfterCollege acquires collegefeed,collegefeed,AfterCollege,04/07/2015,
"TBX Group, Inc acquires GreatDay Auto Group, Inc.","GreatDay Auto Group, Inc.","TBX Group, Inc",04/15/2015,
Techstars acquires UP Global,UP Global,Techstars,06/16/2015,
Zealot Networks acquires ViralNova,ViralNova,Zealot Networks,07/09/2015,"$100,000,000"
Apax Partners acquires AssuredPartners,AssuredPartners,Apax Partners,07/20/2015,
Noodle acquires Allclasses,Allclasses,Noodle,07/23/2015,
Elastic acquires Packetbeat,Packetbeat,Elastic,05/27/2015,
Digital Journal Group acquires SqueezeCMM,SqueezeCMM,Digital Journal Group,09/15/2015,
foodora acquires Hurrier,Hurrier,foodora,09/17/2015,
AUTOnCAB acquires BigZop,BigZop,AUTOnCAB,09/29/2015,
Facebook acquires Endaga,Endaga,Facebook,10/05/2015,
Eventbrite acquires Scintilla Technologies,Scintilla Technologies,Eventbrite,10/14/2015,
Xamarin acquires RoboVM AB,RoboVM AB,Xamarin,10/21/2015,
New Relic acquires Opsmatic,Opsmatic,New Relic,11/06/2015,
"BLADE Boston acquires hopOn, Inc.","hopOn, Inc.",BLADE Boston,11/09/2015,
TransUnion acquires Trustev,Trustev,TransUnion,12/10/2015,"$44,000,000"
Oracle Corporation acquires StackEngine,StackEngine,Oracle Corporation,12/18/2015,
Fathym acquires WeatherCloud Inc.,WeatherCloud Inc.,Fathym,12/30/2015,
Big Viking Games acquires Gallop Labs,Gallop Labs,Big Viking Games,01/27/2016,
Underdog.io acquires Sourcing.io,Sourcing.io,Underdog.io,12/01/2015,
Modomoto acquires Cloakroom,Cloakroom,Modomoto,02/02/2016,
Housejoy acquires mywash.in,mywash.in,Housejoy,02/03/2016,
Apparat acquires R-e-e-d,R-e-e-d,Apparat,12/01/2015,
Bridge acquires Appjolt,Appjolt,Bridge,02/09/2016,
OYO Rooms acquires ZO Rooms,ZO Rooms,OYO Rooms,02/10/2016,
Salesforce acquires PredictionIO,PredictionIO,Salesforce,02/19/2016,
InVision acquires Waybury,Waybury,InVision,02/20/2016,
Smart Software Testing Solutions acquires pCloudy.com,pCloudy.com,Smart Software Testing Solutions,02/23/2016,
CDK Global acquires NewCarIQ,NewCarIQ,CDK Global,02/24/2016,"$34,000,000"
Mainz acquires Tricor Staffing,Tricor Staffing,Mainz,02/25/2016,
essensys acquires Hubcreate,Hubcreate,essensys,02/26/2016,
Outbrain acquires Revee,Revee,Outbrain,03/03/2016,
RAC acquires Nebula Systems Ltd,Nebula Systems Ltd,RAC,03/04/2016,
Bristol-Myers Squibb acquires Padlock Therapeutics,Padlock Therapeutics,Bristol-Myers Squibb,03/23/2016,"$600,000,000"
Smartling acquires Jargon,Jargon,Smartling,04/06/2016,
Trinet acquires Teleborder,Teleborder,Trinet,04/07/2016,
Global Arena Holding acquires Blockchain Technologies Corp,Blockchain Technologies Corp,Global Arena Holding,07/02/2015,
Giphy acquires Giphy Capture,Giphy Capture,Giphy,04/10/2016,
Webfolio Management acquires Picreel,Picreel,Webfolio Management,04/12/2016,
Oracle Corporation acquires Crosswise,Crosswise,Oracle Corporation,04/14/2016,"$50,000,000"
Lendix acquires Finsquare,Finsquare,Lendix,04/19/2016,
Cobra Electronics Corporation acquires WASPcam,WASPcam,Cobra Electronics Corporation,04/19/2016,
Aptuit LLC acquires Exquiron Biotech,Exquiron Biotech,Aptuit LLC,04/21/2016,
Cryptosoft Ltd acquires Device Authority,Device Authority,Cryptosoft Ltd,04/21/2016,
Blue Whale Web acquires IT Unity,IT Unity,Blue Whale Web,04/14/2016,
LogiNext Solutions acquires YourGuy,YourGuy,LogiNext Solutions,04/25/2016,
Taringa! acquires Spiral App,Spiral App,Taringa!,08/24/2015,
Litmus acquires Curated,Curated,Litmus,04/26/2016,
GirnarSoft acquires Connecto,Connecto,GirnarSoft,04/28/2016,
"Veristat, Inc. acquires Spero Oncology",Spero Oncology,"Veristat, Inc.",05/02/2016,
ACT acquires OpenEd,OpenEd,ACT,05/02/2016,
Pinterest acquires URX,URX,Pinterest,05/03/2016,
Fundamental Applications Corp acquires Foro,Foro,Fundamental Applications Corp,04/13/2015,
Fundamental Applications Corp acquires Truth,Truth,Fundamental Applications Corp,04/13/2015,
Google acquires Skillman & Hackett,Skillman & Hackett,Google,04/16/2015,
Broadridge acquires Dojima,Dojima,Broadridge,05/11/2016,
invino acquires Glassful,Glassful,invino,05/11/2016,
Shopwings acquires Grocery Butler,Grocery Butler,Shopwings,05/12/2016,
Jialebao.cc acquires Yummy77,Yummy77,Jialebao.cc,05/27/2016,
Computershare acquires Altavera Mortgage Services LLC,Altavera Mortgage Services LLC,Computershare,05/16/2016,
Alliance Creative Group acquires PeopleVine,PeopleVine,Alliance Creative Group,01/15/2015,
Gordon Brothers Group acquires Blast–Off Brands,Blast–Off Brands,Gordon Brothers Group,05/18/2016,
Nortek acquires Nuiku,Nuiku,Nortek,05/24/2016,
Demandbase acquires Spiderbook,Spiderbook,Demandbase,04/24/2016,
Guscio plc acquires Sportsdata Limited,Sportsdata Limited,Guscio plc,02/25/2015,
ContraVir Pharmaceuticals acquires Ciclofilin Pharmaceuticals,Ciclofilin Pharmaceuticals,ContraVir Pharmaceuticals,05/31/2016,"$17,000,000"
Jugnoo acquires Sabkuchfresh,Sabkuchfresh,Jugnoo,06/01/2016,
Mosaic acquires Contend,Contend,Mosaic,06/02/2016,"$27,000,000"
EWTN Global Catholic Network acquires ChurchPOP,ChurchPOP,EWTN Global Catholic Network,06/02/2016,
Snap Inc. acquires Obvious Engineering,Obvious Engineering,Snap Inc.,06/03/2016,
Athena Bitcoin acquires BitQuick,BitQuick,Athena Bitcoin,06/06/2016,
Sussex Strategy Group acquires Adrenaline Digital,Adrenaline Digital,Sussex Strategy Group,06/08/2016,
Aroluxe acquires Intellio LLC,Intellio LLC,Aroluxe,06/09/2016,
KBW Investments acquires Grayscale Interiors,Grayscale Interiors,KBW Investments,06/12/2016,
BP3 Global acquires Futurum IT,Futurum IT,BP3 Global,06/10/2016,
Digital Domain Holdings acquires Digital Funk Machine,Digital Funk Machine,Digital Domain Holdings,06/10/2016,
VMware acquires Arkin,Arkin,VMware,06/13/2016,
ARANZ Geo Ltd acquires 3point Science,3point Science,ARANZ Geo Ltd,06/14/2016,
FICO (Fair Isaac Corporation) acquires QuadMetrics,QuadMetrics,FICO (Fair Isaac Corporation),06/14/2016,
Indie Boards and Cards acquires Action Phase Games,Action Phase Games,Indie Boards and Cards,06/13/2016,
SunPower Corporation acquires Dragonfly Systems,Dragonfly Systems,SunPower Corporation,08/04/2014,
Microsoft acquires Wand Labs,Wand Labs,Microsoft,06/16/2016,
Rocket10 acquires Everyads,Everyads,Rocket10,05/01/2016,"$1,500,000"
ELIS acquires On My Way,On My Way,ELIS,06/22/2016,
Yellowwoods acquires DataProphet,DataProphet,Yellowwoods,06/15/2016,
Fareportal acquires Tripcombi UG,Tripcombi UG,Fareportal,06/23/2016,
Kraken Bitcoin Exchange acquires CleverCoin,CleverCoin,Kraken Bitcoin Exchange,06/28/2016,
DCMN acquires 1SDK,1SDK,DCMN,06/29/2016,
FUTR acquires ECMC Servicing Corp.,ECMC Servicing Corp.,FUTR,07/06/2016,
Domain Group acquires Compare And Connect,Compare And Connect,Domain Group,07/06/2016,
The Madison Square Garden Company acquires Boston Calling Events,Boston Calling Events,The Madison Square Garden Company,07/06/2016,
Avante acquires Sling,Sling,Avante,07/11/2016,
TrustYou acquires CheckMate,CheckMate,TrustYou,07/12/2016,
Threepipe acquires Spot Digital,Spot Digital,Threepipe,07/12/2016,
AppPoint Software Solutions acquires HireCanvas,HireCanvas,AppPoint Software Solutions,07/13/2016,"$5,000,000"
Vector Capital acquires Longitude Licensing,Longitude Licensing,Vector Capital,07/18/2016,
CommonBond acquires Gradible,Gradible,CommonBond,08/01/2016,
Quikr acquires Hiree,Hiree,Quikr,07/26/2016,
GreatSchools.org acquires Schoolie,Schoolie,GreatSchools.org,07/25/2016,
LinkedIn acquires PointDrive,PointDrive,LinkedIn,07/26/2016,
evvnt acquires EventViva,EventViva,evvnt,07/21/2016,
Pfizer acquires Bamboo Therapeutics,Bamboo Therapeutics,Pfizer,08/01/2016,"$654,000,000"
U.S. Silica acquires Sandbox Enterprises,Sandbox Enterprises,U.S. Silica,08/02/2016,"$218,300,000"
Wealth Glory Holdings acquires Luduson Entertainment,Luduson Entertainment,Wealth Glory Holdings,08/05/2016,
Brill Media Holdings acquires Inside.com,Inside.com,Brill Media Holdings,04/02/2001,
FXLabs Studios Private Ltd acquires Knibble,Knibble,FXLabs Studios Private Ltd,12/01/2007,
"IntegriCell acquires SyncDog, Inc","SyncDog, Inc",IntegriCell,05/15/2013,
Aditi Technologies acquires getcloudready,getcloudready,Aditi Technologies,05/16/2013,
Ignyta acquires Actagene Oncology,Actagene Oncology,Ignyta,05/20/2013,
8coupons acquires Clipless,Clipless,8coupons,10/15/2013,
Nampak acquires Alucan Packaging,Alucan Packaging,Nampak,11/18/2013,"$301,000,000"
Pinterest acquires VisualGraph,VisualGraph,Pinterest,01/06/2014,
CipherCloud acquires CloudUP Networks,CloudUP Networks,CipherCloud,01/16/2014,
Google acquires SlickLogin,SlickLogin,Google,02/16/2014,
News Corp. acquires CloudPress,CloudPress,News Corp.,03/06/2014,
Vimeo acquires Cameo,Cameo,Vimeo,03/18/2014,
SimilarWeb acquires TapDog,TapDog,SimilarWeb,03/20/2014,
evvnt acquires EventSneaker,EventSneaker,evvnt,04/01/2014,"£400,000"
Piano acquires Swishu,Swishu,Piano,02/01/2014,
Snapdeal acquires Doozton,Doozton,Snapdeal,04/15/2014,
Dropbox acquires Loom,Loom,Dropbox,04/17/2014,
Quixey acquires Kite.io,Kite.io,Quixey,04/18/2014,
Gibson Guitar Corporation acquires Woox Innovations,Woox Innovations,Gibson Guitar Corporation,04/28/2014,"$135,000,000"
Aequitas Capital acquires Maple Bay Asset Management,Maple Bay Asset Management,Aequitas Capital,05/02/2014,
Spendsetter acquires Spendship,Spendship,Spendsetter,05/08/2014,
IBM acquires Cognea,Cognea,IBM,05/20/2014,
Facebook acquires Pryte,Pryte,Facebook,06/03/2014,
Dropbox acquires Droptalk,Droptalk,Dropbox,06/05/2014,
CIVC Partners acquires Track Utilities,Track Utilities,CIVC Partners,06/05/2014,
Vialogy acquires Premaitha Health,Premaitha Health,Vialogy,06/13/2014,"$17,800,000"
WalmartLabs acquires Stylr,Stylr,WalmartLabs,06/16/2014,
StartMeApp acquires AdNubo,AdNubo,StartMeApp,11/06/2013,
Optimizely acquires Synference,Synference,Optimizely,06/26/2014,
WANdisco acquires OhmData,OhmData,WANdisco,05/01/2014,"$3,000,000"
UDG Healthcare acquires Nyxeon,Nyxeon,UDG Healthcare,07/08/2014,"£13,000,000"
GameSalad acquires Together Games,Together Games,GameSalad,07/22/2014,
Pinterest acquires Icebergs,Icebergs,Pinterest,07/30/2014,
Palantir Technologies acquires Propeller,Propeller,Palantir Technologies,07/31/2014,
AssuredPartners acquires The Wright Group,The Wright Group,AssuredPartners,07/30/2014,
comScore acquires MdotLabs,MdotLabs,comScore,08/05/2014,
Noble Subsidiary acquires Canna-Saver,Canna-Saver,Noble Subsidiary,06/05/2014,
EyeEm acquires Sight.io,Sight.io,EyeEm,08/15/2014,
Coinbase acquires Blockr.io,Blockr.io,Coinbase,08/18/2014,
Intervale Capital acquires Recapture Solutions,Recapture Solutions,Intervale Capital,08/18/2014,
Cisco acquires Assemblage,Assemblage,Cisco,07/27/2014,
ironSource acquires Upopa Games,Upopa Games,ironSource,09/04/2014,
Google acquires Polar,Polar,Google,09/11/2014,
JibJab acquires Make Believe Labs,Make Believe Labs,JibJab,09/15/2014,
Empeiria Capital Partners acquires Tank Partners,Tank Partners,Empeiria Capital Partners,09/15/2014,
Handy acquires Mopp,Mopp,Handy,09/22/2014,
Lyft acquires Hitch,Hitch,Lyft,09/22/2014,
Apple acquires Prss,Prss,Apple,09/23/2014,
Hootsuite acquires Zeetl,Zeetl,Hootsuite,09/25/2014,
Salford Farm Machinery acquires BBI Spreaders,BBI Spreaders,Salford Farm Machinery,10/13/2014,
Life360 acquires HelloWorld,HelloWorld,Life360,10/21/2014,
ID.me acquires Perkla,Perkla,ID.me,10/20/2014,
Zogenix acquires Brabant pharma,Brabant pharma,Zogenix,10/27/2014,"$35,000,000"
SmartFocus acquires TagPoints,TagPoints,SmartFocus,09/15/2014,
Snow Phipps Group acquires Teasdale Foods,Teasdale Foods,Snow Phipps Group,10/29/2014,
National Response acquires Emerald Alaska,Emerald Alaska,National Response,11/03/2014,
Apple acquires Union Bay Networks,Union Bay Networks,Apple,11/03/2014,
MediaMath acquires Rare Crowds,Rare Crowds,MediaMath,11/10/2014,
TabTale acquires Coco Play,Coco Play,TabTale,05/01/2014,
SaltMines Group acquires I Like My Waitress,I Like My Waitress,SaltMines Group,10/01/2014,
Unity Technologies acquires Tsugi,Tsugi,Unity Technologies,08/20/2014,
CityAds Media acquires Madnet,Madnet,CityAds Media,12/04/2014,
Alex Brands acquires Shrinky Dinks,Shrinky Dinks,Alex Brands,12/17/2014,
News Corp. acquires BigDecisions,BigDecisions,News Corp.,12/21/2014,
First Reserve Corporation acquires Navigator Energy Services,Navigator Energy Services,First Reserve Corporation,12/23/2014,
3D Systems acquires BotObjects,BotObjects,3D Systems,01/05/2015,
Facebook acquires Wit.ai,Wit.ai,Facebook,01/05/2015,
Essia Health acquires Eastside Specialty Scribes,Eastside Specialty Scribes,Essia Health,01/07/2015,
Pinterest acquires Kosei,Kosei,Pinterest,01/21/2015,
Intel acquires Composyt Light Labs,Composyt Light Labs,Intel,01/21/2015,
Slack acquires Screenhero,Screenhero,Slack,01/28/2015,
Teespring acquires Fabrily,Fabrily,Teespring,01/28/2015,
ticketea acquires Todaytickets,Todaytickets,ticketea,02/02/2015,
DataStax acquires Aurelius,Aurelius,DataStax,02/03/2015,
Palantir Technologies acquires FT Technologies,FT Technologies,Palantir Technologies,02/06/2015,
PGi (Premiere Global Services) acquires Modality Systems,Modality Systems,PGi (Premiere Global Services),02/05/2015,
Zealot Networks acquires Converge Media Group,Converge Media Group,Zealot Networks,02/06/2015,
crosscan GmbH acquires Abel Analytics,Abel Analytics,crosscan GmbH,07/16/2014,
Cloudera acquires xplain.io,xplain.io,Cloudera,02/03/2015,
fitmob acquires Gymsurfing,Gymsurfing,fitmob,02/17/2015,
