Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
moovel Group GmbH acquires RideScout,RideScout,moovel Group GmbH,09/03/2014,
Flipboard acquires Ultravisual,Ultravisual,Flipboard,09/08/2014,
Altiux acquires P-Device Systems,P-Device Systems,Altiux,03/19/2014,
Juniper Networks acquires Contrail Systems,Contrail Systems,Juniper Networks,12/13/2012,"$176,000,000"
Pronoun acquires Byliner,Byliner,Pronoun,09/10/2014,
Slyce acquires Pounce,Pounce,Slyce,09/16/2014,"$5,000,000"
BuySellAds acquires LaunchBit,LaunchBit,BuySellAds,09/17/2014,
Cox Enterprises acquires Experience,Experience,Cox Enterprises,09/18/2014,
LikeBright acquires Acquaintable,Acquaintable,LikeBright,10/22/2013,
Innospec acquires Independence Oilfield Chemicals,Independence Oilfield Chemicals,Innospec,10/01/2014,
Immucor acquires Sentilus,Sentilus,Immucor,10/02/2014,
eBay acquires Rumgr,Rumgr,eBay,10/01/2014,
Taptica International acquires Taptica,Taptica,Taptica International,10/08/2014,"$13,600,000"
Google acquires Firebase,Firebase,Google,10/21/2014,
Lightspeed POS acquires POSIOS,POSIOS,Lightspeed POS,10/22/2014,
Qualcomm Incorporated acquires Empowered Careers,Empowered Careers,Qualcomm Incorporated,07/30/2014,
Cloudera acquires DataPad,DataPad,Cloudera,09/30/2014,
Kirusa acquires Saya,Saya,Kirusa,10/25/2014,
BuzzFeed acquires Torando Labs,Torando Labs,BuzzFeed,10/28/2014,
Seedrs acquires Junction Investments,Junction Investments,Seedrs,10/30/2014,
ESI-Group acquires CyDesign Labs,CyDesign Labs,ESI-Group,10/24/2013,
Google acquires RelativeWave,RelativeWave,Google,11/18/2014,
Vivint acquires Space Monkey,Space Monkey,Vivint,08/18/2014,
Pamplona Capital Management acquires Intralign,Intralign,Pamplona Capital Management,11/20/2014,
ADvTECH acquires MaraVest,MaraVest,ADvTECH,11/27/2014,"$41,000,000"
Intel acquires PasswordBox,PasswordBox,Intel,12/01/2014,
Bankrate acquires Wallaby Financial,Wallaby Financial,Bankrate,12/01/2014,
AppGyver acquires AppArchitect,AppArchitect,AppGyver,12/08/2014,
Oculus acquires Nimble VR,Nimble VR,Oculus,12/12/2014,
Snap Inc. acquires Vergence Labs,Vergence Labs,Snap Inc.,12/17/2014,"$15,000,000"
The Carlyle Group acquires Axalta Coating Systems,Axalta Coating Systems,The Carlyle Group,02/01/2013,"$4,900,000,000"
YouTube acquires Vidmaker,Vidmaker,YouTube,12/18/2014,
Publishers Clearing House acquires Plethora Mobile,Plethora Mobile,Publishers Clearing House,12/01/2014,
Elsevier acquires newsflo,newsflo,Elsevier,01/12/2015,
Admedo Ltd acquires Dispop,Dispop,Admedo Ltd,01/13/2015,
Par Pharmaceuticals acquires Ethics Bio Lab,Ethics Bio Lab,Par Pharmaceuticals,01/21/2015,"$20,000,000"
TabTale acquires Level Bit,Level Bit,TabTale,01/13/2015,
Slyce acquires SnipSnap,SnipSnap,Slyce,01/29/2015,"$6,500,000"
TripAdvisor acquires zetrip,zetrip,TripAdvisor,02/02/2015,
Fundable acquires Clarity,Clarity,Fundable,02/04/2015,
Alma acquires Always Prepped,Always Prepped,Alma,02/11/2015,
BookMyShow acquires Eventifier,Eventifier,BookMyShow,02/11/2015,"$2,000,000"
Zealot Networks acquires NewMediaRockstars,NewMediaRockstars,Zealot Networks,08/01/2014,
Datadog acquires Mortar Data,Mortar Data,Datadog,02/11/2015,
EatOye Pvt. Ltd. acquires Urbanite,Urbanite,EatOye Pvt. Ltd.,02/16/2015,
Just Eat acquires SinDelantal.Mx,SinDelantal.Mx,Just Eat,02/16/2015,
Parent Co. acquires Notabli,Notabli,Parent Co.,02/17/2015,
New Mountain Capital acquires Diversified Foodservice Supply,Diversified Foodservice Supply,New Mountain Capital,02/18/2015,
"mixi, Inc. (Japan) acquires Muse & Co",Muse & Co,"mixi, Inc. (Japan)",02/19/2015,"$14,800,000"
Renaissance Learning acquires UClass,UClass,Renaissance Learning,02/19/2015,
Google acquires Toro,Toro,Google,02/24/2015,
Cupcake Digital acquires Little Bit Studio,Little Bit Studio,Cupcake Digital,11/18/2014,
Integral Ad Science acquires Veenome,Veenome,Integral Ad Science,03/04/2015,
SuperAwesome acquires Ad4kids,Ad4kids,SuperAwesome,03/09/2015,
GREE acquires Sekaie,Sekaie,GREE,12/24/2014,
Nanotech Security acquires Fortress Optical Features,Fortress Optical Features,Nanotech Security,08/24/2014,
Amazon acquires 2lemetry,2lemetry,Amazon,03/12/2015,
The Mustang Group acquires Net Direct Merchants,Net Direct Merchants,The Mustang Group,06/12/2012,
Rakuten acquires Deep Forest Media,Deep Forest Media,Rakuten,03/20/2015,
Super acquires CrunchCommerce,CrunchCommerce,Super,03/13/2015,
Stripe acquires TOTEMS,TOTEMS,Stripe,02/15/2015,
Salesforce acquires Toopher,Toopher,Salesforce,04/01/2015,
LinkedIn acquires Refresh.io,Refresh.io,LinkedIn,04/02/2015,
Twitter acquires tenXer,tenXer,Twitter,04/02/2015,"$50,000,000"
"Auxilio, Inc. acquires Delphiis",Delphiis,"Auxilio, Inc.",07/08/2014,"$2,700,000"
Apple acquires OttoCat,OttoCat,Apple,04/07/2015,
Reserve acquires zurvu,zurvu,Reserve,04/07/2015,
Coinsetter acquires Cavirtex,Cavirtex,Coinsetter,04/08/2015,"$2,000,000"
Influitive acquires Engagio (old),Engagio (old),Influitive,02/05/2013,
ProQuest acquires SIPX,SIPX,ProQuest,04/08/2015,
Amazon acquires Amiato,Amiato,Amazon,04/10/2015,
Practo acquires Fitho,Fitho,Practo,04/23/2015,
Change.org acquires Versa,Versa,Change.org,03/03/2015,
SolarWinds acquires Papertrail,Papertrail,SolarWinds,04/28/2015,"$41,000,000"
Coral Reef Capital acquires ROC Service Company,ROC Service Company,Coral Reef Capital,04/29/2015,
Baidu acquires Anquanbao,Anquanbao,Baidu,04/16/2015,
Post Holdings acquires MOM Brands,MOM Brands,Post Holdings,05/04/2015,
Nordic media group Egmont acquires Realityportalen,Realityportalen,Nordic media group Egmont,01/15/2015,
eÓtica acquires Lema21,Lema21,eÓtica,04/20/2015,
Salesforce acquires Tempo AI,Tempo AI,Salesforce,05/29/2015,
NaturalMotion acquires Boss Alien,Boss Alien,NaturalMotion,08/01/2012,
Options Technology acquires Jake Roy Pillar,Jake Roy Pillar,Options Technology,06/03/2015,
Tritium Partners acquires RoadOne Intermoda Logistics,RoadOne Intermoda Logistics,Tritium Partners,06/08/2015,
Treatwell acquires ZenSoon,ZenSoon,Treatwell,06/16/2015,
Spotify acquires Seed Scientific,Seed Scientific,Spotify,06/24/2015,
Back9 Network acquires Swing by Swing,Swing by Swing,Back9 Network,05/30/2014,
Rakuten acquires Voyagin,Voyagin,Rakuten,07/01/2015,
MongoDB acquires WiredTiger,WiredTiger,MongoDB,12/16/2014,
TEAM Industrial Services acquires Qualspec Group,Qualspec Group,TEAM Industrial Services,07/06/2015,
Platform Specialty Products acquires Alent,Alent,Platform Specialty Products,07/13/2015,"$2,100,000,000"
DAQRI acquires Melon,Melon,DAQRI,02/19/2015,
Como acquires Keeprz,Keeprz,Como,07/16/2015,"$50,000,000"
eBay acquires Twice,Twice,eBay,07/20/2015,
News America Marketing acquires Checkout 51,Checkout 51,News America Marketing,07/24/2015,
MailUp acquires acumbamail,acumbamail,MailUp,08/02/2015,
Enbridge acquires Cantera Resources,Cantera Resources,Enbridge,11/19/2003,
Mobikon Asia acquires Trii.be,Trii.be,Mobikon Asia,08/14/2015,
Rise acquires HealthyOut,HealthyOut,Rise,08/19/2015,
PayPal acquires Modest Inc,Modest Inc,PayPal,08/19/2015,
Strategic Link Partners acquires DigaForce,DigaForce,Strategic Link Partners,01/02/2014,
Swrve acquires Converser,Converser,Swrve,02/01/2015,
Life360 acquires Chronos Mobile Technologies,Chronos Mobile Technologies,Life360,08/27/2015,
Amicus Therapeutics acquires Scioderm,Scioderm,Amicus Therapeutics,08/31/2015,"$847,000,000"
Riverside Company acquires Arrowhead Electrical Products,Arrowhead Electrical Products,Riverside Company,09/01/2015,
Flipkart acquires FX Mart,FX Mart,Flipkart,09/01/2015,"$6,800,000"
Cipla acquires Exelan Pharmaceuticals,Exelan Pharmaceuticals,Cipla,09/04/2015,"$50,000,000"
Interfacing Technologies acquires HeyBubble,HeyBubble,Interfacing Technologies,09/04/2015,
Amasty acquires MagPleasure Ltd.,MagPleasure Ltd.,Amasty,08/28/2015,
Get It acquires EmployInsight,EmployInsight,Get It,11/13/2014,
Practo acquires Qikwell Technologies,Qikwell Technologies,Practo,09/02/2015,
Persivia acquires IHM Services,IHM Services,Persivia,09/14/2015,
Skechers U.S.A. acquires Fitwall,Fitwall,Skechers U.S.A.,09/11/2014,
Sysomos acquires Gazemetrix,Gazemetrix,Sysomos,09/14/2015,
The News Funnel acquires Real Estate Tech News,Real Estate Tech News,The News Funnel,09/01/2014,
Google acquires Oyster,Oyster,Google,09/21/2015,"$30,000,000"
ESET acquires DESlock,DESlock,ESET,09/24/2015,
WanderWe acquires VolunteerMark,VolunteerMark,WanderWe,09/30/2015,
EBS BrokerTec acquires Molten Markets,Molten Markets,EBS BrokerTec,10/05/2015,
Digi International acquires bluenica,bluenica,Digi International,10/06/2015,
MakerBot acquires Layer by Layer,Layer by Layer,MakerBot,11/13/2014,
SteelBrick acquires Invoice IT,Invoice IT,SteelBrick,09/10/2015,
VMware acquires Boxer,Boxer,VMware,10/14/2015,
Integra acquires opticAccess,opticAccess,Integra,10/16/2015,
Yesler acquires Lead Lizard,Lead Lizard,Yesler,10/16/2015,
Strativity Group acquires Touchpoint Dashboard,Touchpoint Dashboard,Strativity Group,10/20/2015,
Seagate Technology LLC acquires Lyve Minds,Lyve Minds,Seagate Technology LLC,10/20/2015,
LegalShield acquires Shake,Shake,LegalShield,04/22/2015,
Marketo acquires Vessel,Vessel,Marketo,05/13/2015,
Sprinklr acquires Booshaka,Booshaka,Sprinklr,11/02/2015,
Inspirato acquires Portico Club,Portico Club,Inspirato,12/18/2013,
Sharecare acquires BACTES,BACTES,Sharecare,07/01/2013,
OwnLocal acquires Sidengo,Sidengo,OwnLocal,03/10/2015,
DraftDay acquires SportsTradex,SportsTradex,DraftDay,11/09/2015,
Zebra Imaging acquires Rattan Software,Rattan Software,Zebra Imaging,11/11/2015,
AVG Technologies acquires MyRoll,MyRoll,AVG Technologies,11/11/2015,
"RhodeCode, Inc. acquires App Enlight",App Enlight,"RhodeCode, Inc.",11/12/2015,
Velocity acquires Uncover,Uncover,Velocity,11/19/2015,
Greenhouse Software acquires Parklet,Parklet,Greenhouse Software,11/19/2015,
Tradesy acquires Shop Hers,Shop Hers,Tradesy,11/17/2015,
GoSocial acquires People Acquisition & Retention,People Acquisition & Retention,GoSocial,11/20/2015,"$12,000,000"
Clique Media Group (CMG) acquires Wantering,Wantering,Clique Media Group (CMG),11/24/2015,
Imperus acquires Akamon Entertainment,Akamon Entertainment,Imperus,11/24/2015,"$23,900,000"
Quicket acquires BookitNow!,BookitNow!,Quicket,11/26/2015,
Pionet Group acquires Z-eyez,Z-eyez,Pionet Group,11/25/2015,
Quikr acquires Realty Compass,Realty Compass,Quikr,12/03/2015,
MockBank acquires Litoro,Litoro,MockBank,12/08/2015,
Revionics acquires MarketYze,MarketYze,Revionics,12/08/2015,
Pinterest acquires The Hunt,The Hunt,Pinterest,12/08/2015,
FullContact acquires nGame,nGame,FullContact,12/17/2015,
Agenus acquires PhosImmune,PhosImmune,Agenus,12/27/2015,"$44,900,000"
LINE Corporation acquires Wit studio,Wit studio,LINE Corporation,06/29/2015,
Viabl acquires Relately,Relately,Viabl,01/05/2016,
Harman International Industries acquires TowerSec,TowerSec,Harman International Industries,01/06/2016,"$70,000,000"
Lionbridge acquires INT'L.com,INT'L.com,Lionbridge,01/20/2000,"$190,000,000"
DSSD acquires Graphite Systems,Graphite Systems,DSSD,09/29/2015,
vLex acquires Quolaw,Quolaw,vLex,08/27/2014,
Freeman acquires Klowd.com,Klowd.com,Freeman,01/12/2016,
Kraken Bitcoin Exchange acquires Coinsetter,Coinsetter,Kraken Bitcoin Exchange,01/17/2016,
Spotify acquires Soundwave,Soundwave,Spotify,01/20/2016,
GenKey Solutions acquires ClaimSync,ClaimSync,GenKey Solutions,10/14/2013,
lifeIMAGE acquires Mammosphere,Mammosphere,lifeIMAGE,01/27/2016,
RentPath acquires Live Response Solutions,Live Response Solutions,RentPath,01/28/2016,
Yerra Solutions acquires Lex Connect,Lex Connect,Yerra Solutions,01/28/2016,
Tecside Group acquires SeaStone Group,SeaStone Group,Tecside Group,01/28/2016,
Apple acquires LearnSprout,LearnSprout,Apple,01/28/2016,
Fandango acquires M-GO,M-GO,Fandango,01/29/2016,
Huron Consulting Group acquires MyRounding,MyRounding,Huron Consulting Group,02/02/2016,
Sunshine acquires Cumulonimbus,Cumulonimbus,Sunshine,02/04/2016,
Life360 acquires Couple,Couple,Life360,02/12/2016,
Eventbrite acquires Queue,Queue,Eventbrite,02/11/2016,
Amazon acquires EMVANTAGE Payments,EMVANTAGE Payments,Amazon,02/16/2016,
ZeaKal acquires Algenetix,Algenetix,ZeaKal,02/17/2016,
Instart Logic acquires Kwicr,Kwicr,Instart Logic,02/18/2016,
Contently acquires Docalytics,Docalytics,Contently,02/18/2016,
Udemy acquires Sunnytrail Insight Labs (Talentbuddy),Sunnytrail Insight Labs (Talentbuddy),Udemy,02/18/2016,
Yoyo Wallet acquires Q App,Q App,Yoyo Wallet,02/19/2016,
Zen Planner acquires Mainstack,Mainstack,Zen Planner,01/06/2016,
Rakuten Marketing acquires Manifest,Manifest,Rakuten Marketing,02/25/2016,
POPSUGAR acquires Cosmic,Cosmic,POPSUGAR,02/22/2016,
Nanigans acquires LoopIt,LoopIt,Nanigans,02/04/2014,
Condé Nast acquires Poetica,Poetica,Condé Nast,03/01/2016,
X5 Music Group acquires Soundrop,Soundrop,X5 Music Group,02/29/2016,
Delaware North acquires Ruby Seven Studios,Ruby Seven Studios,Delaware North,03/10/2016,
Sygic acquires Sygic Travel,Sygic Travel,Sygic,01/20/2016,
Mesosphere acquires H1 Studios,H1 Studios,Mesosphere,01/01/2015,
Ola acquires Qarth,Qarth,Ola,03/21/2016,
Influitive acquires Triggerfox Corporation,Triggerfox Corporation,Influitive,03/22/2016,
PCTEL acquires Maxrad,Maxrad,PCTEL,01/22/2004,"$20,000,000"
Wings Travels acquires Bookmycab,Bookmycab,Wings Travels,03/23/2016,
Care.com acquires Kinsights,Kinsights,Care.com,01/19/2016,
Restlet acquires DHC,DHC,Restlet,09/15/2015,
Matter Communications acquires Skyscope,Skyscope,Matter Communications,04/05/2016,
Barracuda Networks acquires Sookasa,Sookasa,Barracuda Networks,04/05/2016,
Pmweb acquires Intuitive Inteligence,Intuitive Inteligence,Pmweb,03/21/2016,
Kindful acquires Populr,Populr,Kindful,04/24/2015,
RetailMeNot acquires Giftcard Zen,Giftcard Zen,RetailMeNot,04/07/2016,"$22,000,000"
Wind River acquires Arynga,Arynga,Wind River,04/06/2016,
Lookout acquires Bluebox,Bluebox,Lookout,04/08/2016,
Time Out Group acquires HallStreet,HallStreet,Time Out Group,04/12/2016,
OpenGov acquires Ontodia,Ontodia,OpenGov,04/13/2016,
Athenahealth acquires Arsenal Health,Arsenal Health,Athenahealth,04/14/2016,
Mobify acquires Pathful,Pathful,Mobify,04/18/2016,
Lightbend acquires BoldRadius,BoldRadius,Lightbend,04/15/2016,
GSN Games acquires Gamedonia,Gamedonia,GSN Games,04/19/2016,
Dent Zone Companies acquires Trident Protection Systems,Trident Protection Systems,Dent Zone Companies,04/19/2016,
Pinterest acquires Curator & Co,Curator & Co,Pinterest,04/21/2016,
Central Group of Company acquires Zalora Thailand,Zalora Thailand,Central Group of Company,04/25/2016,
Solarrus acquires Power Factors,Power Factors,Solarrus,04/21/2016,
Mom 2.0 Summit acquires Tastemaker Mom,Tastemaker Mom,Mom 2.0 Summit,04/28/2016,
"Kalkomey Enterprises, Inc. acquires Outdoor Roadmap",Outdoor Roadmap,"Kalkomey Enterprises, Inc.",04/29/2016,
Amgen acquires Dezima Pharma,Dezima Pharma,Amgen,09/16/2015,"$300,000,000"
Uptime Systems acquires JurisPage,JurisPage,Uptime Systems,05/03/2016,
LivingBridge acquires Broadstone Corporate Benefits,Broadstone Corporate Benefits,LivingBridge,05/04/2016,
Cardinal Health acquires PCI Pharma Services,PCI Pharma Services,Cardinal Health,07/25/1996,
Google acquires Redwood Robotics,Redwood Robotics,Google,12/04/2013,
Google acquires DNNresearch,DNNresearch,Google,03/12/2013,
Amryt Pharma acquires Sompharmaceuticals,Sompharmaceuticals,Amryt Pharma,05/13/2016,
Beacon Rail Leasing acquires Ascendos Rail Leasing,Ascendos Rail Leasing,Beacon Rail Leasing,05/13/2016,
Broadcom acquires MagnaCom,MagnaCom,Broadcom,05/17/2016,"$60,000,000"
Siemens Healthineers acquires NEO New Oncology AG,NEO New Oncology AG,Siemens Healthineers,05/17/2016,
Falanx Group Ltd acquires Advanced Security Consulting Limited (JustASC),Advanced Security Consulting Limited (JustASC),Falanx Group Ltd,05/18/2016,
priceline.com acquires Woomoo,Woomoo,priceline.com,05/24/2016,
PayNearMe acquires Prism,Prism,PayNearMe,05/31/2016,
Milestone Brands acquires American Born Moonshine,American Born Moonshine,Milestone Brands,06/01/2016,
Voonik acquires Zohraa Lifestyles,Zohraa Lifestyles,Voonik,06/06/2016,
Rouge Media acquires On Campus Media,On Campus Media,Rouge Media,05/24/2016,
Sanoma Media acquires SCOUPY,SCOUPY,Sanoma Media,06/01/2016,
Cameo Global acquires SendHub,SendHub,Cameo Global,06/06/2016,
Cahill Services acquires Drive Rental,Drive Rental,Cahill Services,06/06/2016,
HostGenius acquires Speed Host Australia,Speed Host Australia,HostGenius,06/08/2016,
FluoroPharma acquires Ground Fluor Pharmaceuticals,Ground Fluor Pharmaceuticals,FluoroPharma,06/09/2016,
Patriot National Insurance Group acquires Brandywine Insurance Advisors,Brandywine Insurance Advisors,Patriot National Insurance Group,05/26/2015,
Patriot National Insurance Group acquires TriGen Insurance Solutions,TriGen Insurance Solutions,Patriot National Insurance Group,04/01/2015,
Securus Technologies acquires CellBlox,CellBlox,Securus Technologies,01/14/2015,
Olympus Partners acquires Ennis-Flint,Ennis-Flint,Olympus Partners,06/13/2016,
NerveWire acquires PinReach,PinReach,NerveWire,07/01/2012,
Sanomedics acquires Zen Charts,Zen Charts,Sanomedics,05/26/2015,
CenturyLink acquires ElasticBox,ElasticBox,CenturyLink,06/14/2016,"$20,000,000"
Celyad acquires CorQuest Medical,CorQuest Medical,Celyad,11/05/2014,
ThinkersHQ acquires React Comms,React Comms,ThinkersHQ,06/09/2016,
Søgemedier acquires Deskwolf,Deskwolf,Søgemedier,06/15/2016,
Intent Media acquires Voyat,Voyat,Intent Media,06/21/2016,
Zalando SE acquires Metrigo,Metrigo,Zalando SE,03/05/2015,
OneUp Sports acquires Let’s Move Down,Let’s Move Down,OneUp Sports,10/01/2014,
a2om international acquires Roadio,Roadio,a2om international,03/23/2015,
Lonza Group acquires Triangle Research Labs,Triangle Research Labs,Lonza Group,06/30/2016,
Digitouch acquires Optimized Group S.r.l.,Optimized Group S.r.l.,Digitouch,06/29/2016,
Markerstudy Group acquires Drivology Limited,Drivology Limited,Markerstudy Group,06/30/2016,
Jaywing acquires Digital Massive,Digital Massive,Jaywing,07/07/2016,"$4,000,000"
Google acquires Kifi,Kifi,Google,07/12/2016,
McKesson acquires HealthQx,HealthQx,McKesson,07/12/2016,
Foxit Corporation acquires Sumilux Technologies (dba Jabze),Sumilux Technologies (dba Jabze),Foxit Corporation,07/12/2016,
ING Group acquires Qustomer,Qustomer,ING Group,09/09/2015,
Myntra acquires HRX,HRX,Myntra,07/20/2016,
Wind Point Partners acquires St. George Logistics,St. George Logistics,Wind Point Partners,07/25/2016,
ClickZ acquires Contentive,Contentive,ClickZ,04/01/2015,
GRC Solutions acquires Better,Better,GRC Solutions,02/18/2016,
Nutanix acquires PernixData,PernixData,Nutanix,08/03/2016,
Wolong Real Estate Group acquires Mokylin Group,Mokylin Group,Wolong Real Estate Group,08/08/2016,
OneAccord Capital acquires Graphic Label,Graphic Label,OneAccord Capital,08/04/2016,
Times Internet acquires Musicfellas,Musicfellas,Times Internet,02/07/2014,
Accodex acquires Clear Business Dynamics,Clear Business Dynamics,Accodex,11/03/2015,
The Hut Group acquires Hale Country Club and Spa,Hale Country Club and Spa,The Hut Group,07/11/2016,
Aconex acquires Worksite,Worksite,Aconex,07/15/2015,
FRONTEO Government Services acquires Schiefelbein Analytics LLC,Schiefelbein Analytics LLC,FRONTEO Government Services,10/15/2013,
Interactive Intelligence Group acquires OrgSpan,OrgSpan,Interactive Intelligence Group,04/17/2014,
BKCO - Ben Kinney Companies acquires Brivity Inc.,Brivity Inc.,BKCO - Ben Kinney Companies,09/27/2012,
Scribd acquires Librify,Librify,Scribd,06/24/2015,
Dun & Bradstreet Credibility Corporation acquires BlockBeacon,BlockBeacon,Dun & Bradstreet Credibility Corporation,12/01/2012,
Vibes acquires Lumata,Lumata,Vibes,08/01/2013,
Muses Marketing acquires AdOnStream Services,AdOnStream Services,Muses Marketing,04/12/2016,"$100,000"
Throne Media Group acquires Digital Hype Networks,Digital Hype Networks,Throne Media Group,06/01/2012,
Baines-Savage acquires SocialFire,SocialFire,Baines-Savage,11/18/2012,
TigerLogic acquires Storycode,Storycode,TigerLogic,12/28/2012,
The Top Villas acquires Luxury Villa Rentals,Luxury Villa Rentals,The Top Villas,10/17/2012,
Shutterfly acquires piqlet,piqlet,Shutterfly,10/01/2012,
Appfolio acquires Renter's Friend,Renter's Friend,Appfolio,04/01/2013,
Emerge First LLC acquires SparkEngage,SparkEngage,Emerge First LLC,10/01/2013,
Mason Street Labs acquires EventChocolate,EventChocolate,Mason Street Labs,05/01/2012,
Issuu acquires Dittit,Dittit,Issuu,12/01/2012,
GoLAN Consulting acquires iLtechMAP,iLtechMAP,GoLAN Consulting,01/01/2014,
AcademixDirect acquires CourseTalk,CourseTalk,AcademixDirect,08/01/2013,
Brand Value Accelerator acquires BMT Media,BMT Media,Brand Value Accelerator,01/01/2014,
"RewardStream acquires Spur, Inc.","Spur, Inc.",RewardStream,10/01/2013,
D8A Group acquires MetaLayer,MetaLayer,D8A Group,10/02/2013,
Moda Operandi acquires Bonfaire,Bonfaire,Moda Operandi,12/15/2013,
Certusoft acquires FuelMiner,FuelMiner,Certusoft,06/06/2013,
Techstars acquires NameLayer,NameLayer,Techstars,09/23/2013,
Refer.com acquires 22Touch,22Touch,Refer.com,11/01/2013,
Animoca Brands Corporation acquires Web Prancer,Web Prancer,Animoca Brands Corporation,01/01/2014,
CricHQ acquires Turning Square,Turning Square,CricHQ,03/01/2013,"$400,000"
Mediworx software solutions acquires Lekar.sk,Lekar.sk,Mediworx software solutions,06/26/2014,
LikeBright acquires MatchMate.Me,MatchMate.Me,LikeBright,12/31/2013,
DataViz acquires CandidateBroker,CandidateBroker,DataViz,07/01/2014,
"Innosect (fka Innovation Cafe, LLC) acquires Clientific",Clientific,"Innosect (fka Innovation Cafe, LLC)",03/25/2015,
Redmax acquires Reflectum,Reflectum,Redmax,01/14/2015,
Redmax acquires Safe Harbour,Safe Harbour,Redmax,01/14/2015,
Infracommerce acquires olook,olook,Infracommerce,02/01/2015,
Sysco acquires CAKE Corporation,CAKE Corporation,Sysco,10/10/2013,
Tune acquires Appfuel,Appfuel,Tune,07/30/2015,
ID Watchdog acquires idRadar,idRadar,ID Watchdog,12/01/2014,
Reddyset acquires Video Time Machine,Video Time Machine,Reddyset,06/10/2012,
Media24 acquires Rubybox,Rubybox,Media24,10/13/2014,
First Data Corporation acquires Spree Commerce,Spree Commerce,First Data Corporation,09/18/2015,
PhishMe acquires Malcovery Security,Malcovery Security,PhishMe,10/14/2015,
SnappCar acquires FlexiDrive,FlexiDrive,SnappCar,10/01/2015,
Wirecard acquires Contigua (DBA: 10stamps),Contigua (DBA: 10stamps),Wirecard,11/23/2015,
Accera - Supply and sales empowered acquires Visor - Small Retail & Shopper Intelligence,Visor - Small Retail & Shopper Intelligence,Accera - Supply and sales empowered,11/01/2015,
CAKE Corporation acquires Cogsy,Cogsy,CAKE Corporation,07/30/2015,
Kraken Bitcoin Exchange acquires Cavirtex,Cavirtex,Kraken Bitcoin Exchange,01/17/2016,
Blackboard acquires Saypage,Saypage,Blackboard,09/01/2014,
Made by Fire Ltd acquires Raising iBrows Management Services Pvt Ltd,Raising iBrows Management Services Pvt Ltd,Made by Fire Ltd,06/01/2016,
MARS PLUS acquires Savetime Technologies,Savetime Technologies,MARS PLUS,09/16/2015,
Zynx Health acquires CareinSync,CareinSync,Zynx Health,04/24/2014,
Gusto acquires Rentobo,Rentobo,Gusto,05/01/2016,
Wappa acquires Expense Mobi,Expense Mobi,Wappa,07/01/2015,
Ark acquires Carsabi,Carsabi,Ark,12/11/2012,
